story_name,surface_story,truth
Violin ,"A violin string lies snapped on the floor of the dressing room. Next to it, a letter with harsh words threatens exposure of a secret, hinting at dire consequences. In the trash bin, a concert ticket reveals attendance at a rival’s performance on the same night.",The violinist faked her disappearance to escape a threatening blackmailer and reinvent her life elsewhere.
The Silent Chef,"In the chef’s kitchen, a gourmet recipe is discovered, but crucially, the page detailing the final steps is missing. Amidst the chaos, a discarded expensive truffle suggests a disastrous cooking mistake. Surprisingly, the pantry, accessible only to the chef, shows fingerprints all over the lock. What happened?",A resentful sous-chef poisoned the chef to usurp his coveted position.
The Cursed Library,"An ancient book about historical curses remains open on a library pedestal, as if left in haste. Mysterious footprints lead away from the library’s restricted section, where valuable books are kept. Nearby, a cryptic note penned in an ancient script warns of impending doom. What happened?",The librarian fabricated a curse to hide the embezzlement of funds from the sale of rare books.
The Phantom Artist,"A series of mysterious, unsigned paintings appear overnight in the town’s gallery, each depicting hidden corners of the town. A lone paintbrush found at the mayor’s residence links the secretive artworks to someone in his inner circle. Security footage captures a hooded figure stealthily entering the gallery after hours. What happened?","A reclusive artist was creating paintings that subtly exposed the town’s deep-seated corruption, implicating the mayor."
The Jewel Thief’s Gala,"At a high-society gala, a famous necklace disappears. A torn piece of a glove is found clutched in a potted plant, and a cryptic code is scribbled on a napkin left at the bar. Security camera footage shows a figure in a black cape rushing away from the crowd. What happened?","A renowned magician at the gala used the event to perform a daring theft, using sleight of hand to steal and conceal the jewels."
The Midnight Manuscript,"A manuscript for a controversial novel is found torn to pieces in a study. Among the scattered pages, a threatening email is displayed on a computer screen, sent from an anonymous account. A signed first edition of another author's book is discovered hidden under a floorboard. What happened?",The aspiring author destroyed his own manuscript to fake intellectual theft and claim insurance money.
The Forgotten Film,"In an abandoned cinema, an old film reel is discovered that no one remembers seeing before. Ticket stubs scattered around show dates from 30 years ago, but the film was released just last year. A director’s note found in the projection room hints at hidden messages in the film. What happened?",The cinema owner discovered the unreleased film from a forgotten director and played it secretly to assess its value before making it public.
The Lighthouse Keeper’s Secret,"At a deserted lighthouse, the keeper’s logbook is found open with entries describing mysterious lights at sea. Nearby, a hidden compartment in the wall contains old maritime maps marked with unknown symbols. A radio scanner picks up fragments of coded messages. What happened?",The lighthouse keeper was using his post to covertly guide smugglers’ ships through dangerous waters in exchange for rare artifacts.
The Antique Code,"In an upscale antique shop, a rare cipher machine from World War II goes missing. Dust patterns on the shelf suggest a recent removal. A set of coded messages is found in the shop owner’s office, alongside several plane tickets to various international destinations. What happened?","The shop owner staged the theft to secretly sell the cipher machine to a private collector, using the coded messages to negotiate the deal."
The Botanical Betrayal,"At a renowned botanical garden, a valuable hybrid orchid is discovered destroyed. A gardening shears with traces of sap is found behind a nearby statue. Security footage shows a prominent botanist visiting the garden late at night, previously banned from the premises. What happened?","The botanist, driven by jealousy over a rival’s success in hybridizing the orchid, sabotaged the specimen to prevent its unveiling."
The Haunted Studio,"In an old, reputedly haunted music recording studio, recording equipment starts recording on its own at midnight. Lyrics from a song about betrayal and revenge appear on a studio notepad, and a signed photograph of a forgotten rock band is found in a locked drawer. What happened?","The studio owner created the haunting effects using hidden speakers and automated systems to increase interest and tourism, inspired by the studio’s eerie history."
The Final Performance,"During the final act of a theater's closing night, the lead actor mysteriously collapses and is later found unconscious backstage. A tampered prop gun, a backstage pass with unknown fingerprints, and a threatening letter sent to the actor are discovered. What happened?","A rival actor, envious of the lead's critical acclaim, tampered with the prop gun to cause a scare and tarnish the lead’s reputation."
The Forsaken Farmhouse,"At an abandoned farmhouse, investigators find a series of underground tunnels filled with stolen artifacts. A recent newspaper clipping about a missing historian is pinned to the wall. An old, rusty key with initials is discovered in the dirt floor. What happened?","The missing historian was using the farmhouse as a base for smuggling artifacts, but vanished after a deal went wrong."
The Clockmaker’s Countdown,"In a quaint clock shop, all the clocks are found stopped at the exact same time. A hidden compartment in a grandfather clock contains forged documents and passports. An encrypted USB drive is tucked inside an old cuckoo clock. What happened?",The clockmaker was a retired spy who prepared to flee after sensing a threat from his past catching up to him.
The Astronomer’s Message,"At a remote observatory, the lead astronomer disappears, leaving behind a cryptic star chart. A recorded message about an impending celestial event is looping on the observatory's audio system. A broken telescope lens points towards an unusual formation in the sky. What happened?",The astronomer staged his disappearance to focus on a secret discovery of a new comet without interference.
The Novelist’s Last Chapter,"In the study of a bestselling novelist, the last chapter of her unfinished novel reveals the murderer in her mystery series. A glass of poisoned wine sits on her desk, along with several threatening fan letters. Her computer’s history shows research on rare poisons. What happened?","The novelist’s assistant, fearing the end of the lucrative book series, poisoned her to prevent the completion of the final book."
The Forgotten Subway,"In a newly discovered, old subway station, a train covered in decades-old graffiti unexpectedly arrives. Inside, a vintage camera containing photos of missing persons is found. A map with circled stops is taped to the driver’s cabin. What happened?","A rogue photographer was using the forgotten subway line to document the lives of those living off the grid, unnoticed by society."
The Virtual Heist,"During a major online gaming tournament, a top player’s account is hacked and in-game assets worth thousands are stolen. A phishing email is found in the player’s inbox. The IP address traces back to a rival gaming team’s headquarters. What happened?",A rival player orchestrated the hack to weaken the top player’s team and manipulate the tournament’s outcome.
The Perfumer’s Secret Formula,"In a luxury perfumery, a rare fragrance formula is stolen. Residue of a unique chemical is found on the safe’s handle. A threatening voicemail from a competitor is saved on the perfumer’s phone. A receipt from a chemical supply company is discovered in the trash. What happened?",The perfumer’s jealous apprentice stole the formula to start his own rival business.
The Artisan’s Puzzle,"At a craft fair, an artisan’s unique puzzle box goes missing. A set of incomplete designs and a rival’s business card are found at the booth. A security camera shows a cloaked figure tampering with the booth’s lock. What happened?",A competitor stole the puzzle box to reverse-engineer the designs and claim them as their own.
The Deserted Dive Bar,"In a once-popular dive bar now closing down, the owner’s safe is found empty. A series of IOUs from patrons are pinned behind the bar. A hidden basement reveals illegal gambling equipment. What happened?", The bar owner had been hosting underground gambling nights and staged a robbery to erase debts and flee with the earnings.
The Collector’s Obsession,"In a mansion filled with rare collectibles, a valuable missing sculpture prompts an investigation. A diary detailing obsessive behavior is found in the owner’s study. CCTV footage shows a shadowy figure moving through the garden at night. What happened?","The collector faked the theft to claim insurance money, driven by debts from purchasing his expensive collection."
The Secret Garden Disappearance,"A gardener disappears, leaving behind a trowel stuck in the soil next to an upturned patch of earth. A rare plant is missing from the garden. A diary locked with a cryptic combination is found in a shed. What happened?",The gardener discovered a rare botanical specimen and went into hiding to protect it from a competitive botanical thief.
The Coded Canvas,"At an art exhibition, a painting with a hidden message in its brush strokes goes missing. A set of paint-stained gloves is found behind a curtain. A suspicious purchase order for expensive art supplies is seen on the curator’s desk. What happened?","The artist staged the theft of their own painting to create buzz and increase its value once it ""reappeared."""
The Lost Composer,A famous composer vanishes after a premiere. Sheet music with erased sections is left on a piano. A voicemail filled with cryptic musical notes is saved on the composer's phone. A witness reports a mysterious figure lurking near the stage exit. What happened?,"The composer, overwhelmed by pressure and fame, staged his disappearance to live a quieter life abroad."
The Stolen Script,"During a film festival, a groundbreaking movie script is stolen. Security footage shows an unknown director arguing with the scriptwriter. A flash drive containing a backup of the script is found in a coffee shop. What happened?","The scriptwriter’s jealous co-writer stole the script, hoping to sell it to a rival studio."
The Silent Sommelier,A renowned sommelier is found unconscious in a wine cellar. A broken wine bottle nearby shows traces of a rare poison. A competitive event flyer is clutched in the sommelier’s hand. Footprints stained with wine lead away from the scene. What happened?,"A rival sommelier poisoned the wine, attempting to discredit the victim before a major tasting competition."
The Abandoned Asylum,"In a shuttered asylum, strange noises lead to a hidden room where old patient records are found burnt. A camera with recently taken photos shows areas normally inaccessible. An old staff ID badge is discovered under a loose floor tile. What happened?","A former nurse was secretly living in the abandoned building, haunted by past events and unwilling to leave."
The Midnight Inventor,An inventor's latest prototype is stolen from a secure lab. Blueprints show modifications not made by the inventor. A torn note suggests a meeting with a mysterious investor. Surveillance shows a technician who was fired months ago near the lab. What happened?,"The dismissed technician, seeking revenge, stole the prototype to sabotage the inventor’s upcoming presentation."
The Phantom Opera,"After a series of accidents at an opera house, a lead singer’s mask is mysteriously tampered with. A script with alternate endings is found hidden in the wardrobe. An anonymous letter warns of further disruptions. What happened?","A rival singer, wanting the lead role, orchestrated the accidents to scare off the current lead."
The Betrayed Biographer,A biographer working on a controversial book is found locked in their office. Manuscript pages are shredded and strewn about the room. A hidden audio recording captures a heated argument. An encoded email is left on the computer screen. What happened?,"The subject of the biography, fearing exposure, attempted to destroy evidence and intimidate the biographer into halting the project."
The Haunted Hotel,"In a reputedly haunted hotel, guests report seeing apparitions in mirrors. A hidden passage is discovered behind a lobby portrait. An old hotel register with missing pages is found in the basement. A guest’s lost item turns up in impossible locations. What happened?","The hotel owner used special effects and hidden passageways to create ghostly appearances, boosting tourism and local interest."
The Forged Fortune,"A famed financier is accused of forging a will. A copy of the disputed will shows unusual handwriting. A hidden audio recording reveals a conversation about altering documents. A legal expert’s briefcase is found, containing multiple drafts of the will. What happened?","The financier’s assistant, motivated by greed, forged the will to redirect the inheritance to themselves."
The Archive Arson,"Historic archives are damaged in a fire. A burnt matchstick is found near an open window, suggesting arson. A series of threatening emails to the archivist is uncovered, and a rare book that survived the fire turns up in an unexpected place. What happened?","A disgruntled former employee, fired for misconduct, set the fire to destroy records that could incriminate him."
The Vanishing Vendor,A street vendor disappears during a city festival. His stall is found abandoned with the day's earnings still in the cash box. A torn flyer for a competing vendor is found snagged on a nearby fence. Security footage shows the vendor being followed into an alley. What happened?,"The vendor staged his own disappearance to start a new life, leaving behind a struggling business."
The Cryptic Composer,A reclusive composer’s new symphony is stolen days before its premiere. An encoded sheet of music is left behind. A rival’s baton is found backstage. An eyewitness reports seeing a cloaked figure sneaking into the composer’s home. What happened?," The rival composer stole the symphony, hoping to claim it as their own at an international competition."
The Phantom Florist,A renowned florist’s rare orchids are mysteriously cut during the night. A gardening journal with missing pages is found in a competitor's possession. CCTV footage captures a shadowy figure entering the greenhouse. What happened?,"A rival florist, envious of the attention the rare orchids were receiving, sabotaged the flowers to win a prestigious gardening award."
The Heirloom Heist,"During a family reunion, a valuable heirloom goes missing. A copy of the family tree with certain names circled is found in the library. A suitcase packed with travel clothes is discovered in the guest room. A mysterious set of fingerprints is found on the heirloom’s display case. What happened?","A distant relative, feeling entitled to the heirloom, stole it to assert their claim to the family legacy."
The Reclusive Writer,A bestselling writer known for her privacy suddenly invites the public to her secluded home. A manuscript for an unpublished novel is found torn up in the garden. A series of coded letters is mailed to her home. Her phone records show calls to an unknown number. What happened?,The writer was being blackmailed with personal secrets and staged the open house to gather evidence against her blackmailer.
The Smuggler’s Cove,"In a coastal town, smuggled goods are found in a hidden cave. A local fisherman’s boat has traces of the smuggled items. A coded logbook is discovered in the town’s tavern. An anonymous tipster sends warnings about increased smuggling activity. What happened?","The town’s respected elder used fishing operations as a cover for smuggling operations, exploiting his untouchable status."
The Forgotten Film Star,A once-famous film star vanishes before a major comeback. A script with scenes crossed out is left in her dressing room. A bottle containing sleeping pills is found in her car. A private investigator’s report about her whereabouts is discovered in a producer’s office. What happened?,The film star staged her own disappearance to escape the pressures of fame and live anonymously.
The Lost Librarian,A librarian goes missing after receiving a rare book donation. A note written in a foreign script is found tucked in one of the books. A mysterious phone call is recorded on the library’s voicemail. A torn piece of a map is hidden in her desk drawer. What happened?,"The librarian discovered a map to a hidden treasure in one of the donated books and vanished to seek it out, leaving cryptic clues behind."
The Curator's Conundrum,A priceless artifact disappears from a museum exhibit. A broken security camera points away from the exhibit hall. A set of unfamiliar fingerprints is found on the display case. A torn ticket to the exhibit is found in the trash.,"The museum's new curator, desperate to boost attendance, staged the theft to generate publicity."
The Engineer's Blueprint,A prototype engine design is stolen from an aerospace company. Blueprints are missing from the safe. A USB drive with data transfer history is found in a janitor’s closet. An anonymous threat is sent to the lead engineer’s email.,"A disgruntled former employee, holding a grudge against the company, stole the blueprints to sell to a competitor."
The Celebrity Chef's Recipe,A celebrity chef's secret recipe book goes missing just before a major cooking competition. A smear of cooking oil is found on the back door. A rival chef’s apron is discovered near the scene. A note demanding the recipe’s return in exchange for silence is pinned to the kitchen board.,The rival chef orchestrated the theft to undermine the celebrity chef's reputation and win the competition.
The Illusionist's Trick,"During an illusionist's performance, a valuable prop disappears. A trapdoor on stage is left open. A contract with a rival magician is found in the illusionist’s dressing room. A set of lock-picking tools is found in the audience.",The illusionist staged the prop's disappearance as part of an elaborate act to discredit the rival and boost their own fame.
The Canceled Concert,A pop star cancels a sold-out concert mysteriously. Backstage passes are found torn up in a dressing room. A threatening letter is received hours before the show. An unusual number of ticket refunds are requested days before.,The star received threats and faked a vocal injury to cancel the concert while investigating the source of the threats.
The Stolen Stamp,A rare stamp collection is stolen from an exhibition. Surveillance footage shows a figure in a cloak. A forgotten access card is found under a display table. A cryptic message is left on the exhibition’s guestbook.,"An obsessed collector used a replica of the rarest stamp to swap with the original, leaving vague threats to throw off suspicion."
The Antique Astronomer,An antique telescope is reported missing from an astronomer's private gallery. A page from an old astronomy book is found ripped out and left on the floor. A voicemail about cancelling an upcoming auction is saved on the gallery's phone.,"The astronomer hid the telescope himself to avoid selling it at auction, fearing it might fall into the wrong hands."
The Racing Riddle,A racehorse vanishes on the eve of a big race. A broken fence is discovered at the stables. Muddy footprints lead to a nearby road. A ransom note demanding a share of the race winnings is sent to the owner.,"The horse’s trainer, deep in debt, staged the horse’s kidnapping to claim the ransom and pay off creditors."
The Poet's Pages,Manuscripts of unpublished poems are stolen from a reclusive poet's home. A window is found ajar. A mysterious set of keys is found on the garden path. An unmailed letter with a declaration of admiration is discovered in the mailbox.,"An obsessive fan broke in to steal the poems, wanting to keep the poet’s new works all to themselves."
The Vanished Violin,A Stradivarius violin disappears from a locked music room. Security logs show no entries during the time of disappearance. A hidden compartment in a wall reveals an old music score. A series of texts debating the violin's authenticity are found on a curator's phone.,"The curator, discovering the violin was a forgery, hid it to avoid scandal and protect the museum's reputation."
The Phantom Poet,A famous poet vanishes after a controversial reading. Notes with threatening messages are found among his belongings. A suspicious figure is captured on CCTV leaving the poet's last known location. A draft of a yet-to-be-published poem is found torn up in the alley.,The poet staged his own disappearance to escape public backlash and live under an assumed identity.
The Gambler's Last Bet,A professional gambler is found dead in a hotel room. A deck of marked cards is discovered under the bed. Security footage shows an unknown visitor in the hours before the death. A cryptic note with betting odds is clutched in the gambler's hand.,"The gambler was murdered by a rival after catching him cheating, and the note was a warning ignored too late."
The Drowned Sculpture,A valuable sculpture goes missing from a lakeside art exhibit. Diver's gear is found hidden among the bushes nearby. A set of wet footprints leads back to the exhibit hall. An anonymous tip accuses a famous collector of the theft.,The artist secretly submerged the sculpture to create a dramatic discovery as part of an upcoming performance art piece.
The Hacker's Heist,A major tech company suffers a data breach. A USB drive containing malware is found in a conference room. A log of unauthorized access matches the time stamps of employee badge swipes. An employee's resignation letter is submitted shortly after the breach.,A disgruntled employee planted the malware and staged the breach as revenge against the company for perceived injustices.
The Lost Locket,An antique locket is stolen during a family gathering. A muddy shoeprint is found near the scene of the theft. A family member is seen arguing with a guest earlier in the day. A receipt for a large sum of money is found in the guest's coat.,"The guest, who was secretly in financial trouble, stole the locket to sell it but planned to replace it with a replica later."
The Missing Manuscript,A medieval manuscript disappears from a university archive. A letter threatening to reveal academic dishonesty is left behind. A torn part of a scholar’s robe is found near the archives' entrance. Security footage shows a cloaked figure in the vicinity.,A professor removed the manuscript to prevent exposure of fabricated research within its cited studies.
The Whispering Woods,"Campers report strange noises and sightings in a national park. Broken branches and faint footprints are found near the campsite. A ranger’s walkie-talkie is discovered, switched off and buried under leaves. A torn page from a folklore book about woodland spirits is found in the park's office.","The park ranger, fascinated with local legends, orchestrated the events to boost tourism by promoting the park as haunted."
The Sinking Ship,"A cargo ship sinks under mysterious circumstances. A sabotage manual is found in the captain's cabin. A lifeboat is missing, and a message in a bottle is floating nearby. Insurance documents for the cargo are updated days before the sinking.","The ship’s owner, facing bankruptcy, orchestrated the sinking to claim insurance on the valuable cargo."
The Sealed Room,A wealthy heiress is found locked in a supposedly sealed room. A hidden passageway is discovered behind a bookshelf. An ancient coin collection is missing. A diary entry hints at discovering a family secret.,"The heiress faked a burglary to escape her controlling family and start anew, using the secret passage her ancestors used."
The Composer’s Silence,A renowned composer stops speaking entirely. Musical scores with coded messages are found in his study. A sound recording captures an argument involving the composer. A broken metronome is found on the floor.,"The composer lost his hearing due to a rare condition and communicated his plight through coded musical notes, fearing public revelation of his condition."
The Forgotten Festival,A popular festival planner goes missing just before a major event. A torn festival banner is found in his office. Security footage shows him meeting with a mysterious investor. A hand-drawn map of the festival grounds with a location circled is left on his desk.,The planner discovered plans for an illegal activity to take place at the festival and went undercover to gather evidence.
The Silent Stars,A famous silent film theater experiences a series of inexplicable equipment malfunctions. An old film reel not belonging to the theater is found in the projection room. A note written in a forgotten cinema language is tucked inside a seat cushion. A vintage watch belonging to a famous actor from the silent era is discovered in the lobby.,A descendant of the famous actor was staging malfunctions to draw attention to the forgotten art of silent films and revive interest in their ancestor's work.
The Midnight Baker,"A bakery is vandalized every night, ruining the next day’s pastries. Flour footprints lead to and from the back door. A rival bakery’s delivery schedule is found in the trash bin. An unsigned note warns of more disruptions.",The rival bakery owner was trying to drive the bakery out of business to monopolize the local market.
The Mural Mystery,A renowned mural artist is found unconscious next to a partially completed mural. Spray paint cans are arranged in an unusual pattern. A drone with a camera is tangled in nearby power lines. A sketchbook with pages ripped out is found near the scene.,"The artist was sabotaged by a rival who used the drone to cause a distraction, resulting in the artist's fall."
The Timekeeper’s Key,An antique clock shop owner is found locked inside his own vault. A rare clock key is missing. A set of modern digital blueprints for an ancient timepiece is found on his desk. An overdue rent notice is seen on the counter.,"The owner locked himself in the vault to avoid debt collectors, planning to escape through a secret passage known only to him."
The Vineyard Vendetta,A prized bottle of wine is stolen from a vineyard owner’s private cellar. A message written in wine residue is left on the cellar wall. A competitor's cork is found near the cellar door. A recently amended will increases the stakes.,The vineyard owner’s estranged sibling stole the bottle to force a reconciliation and claim their part of the inheritance.
The Librarian’s Ledger,A librarian is suspected of selling rare books under the table. A ledger with coded transactions is found in a hidden drawer. A book with a hollowed-out compartment contains unmarked bills. An anonymous tipster sends clues about the next sale.,"The librarian was actually trying to recover books previously stolen from the library, using the sales to track down the thief."
The Puppeteer’s Performance,A famous puppeteer’s most beloved puppet goes missing after a show. A torn piece of fabric from the puppet's costume is found backstage. A series of ransom notes are sent in the form of puppet scripts. A suspicious package arrives days later.,The puppeteer staged the disappearance to generate publicity and renew interest in a fading art form.
The Cryptographer’s Cipher,A cryptographer is found dead with a cipher machine still running. A series of coded messages is printed out beside him. A book on ancient cryptography methods is open on his desk. A hidden USB drive contains mysterious data.,The cryptographer accidentally triggered a self-destruct mechanism in the cipher machine while trying to decode a particularly dangerous message.
The Designer’s Draft,A fashion designer's newest collection is stolen days before a major runway show. Fabric samples are left scattered around the studio. A competitor's business card is found pinned to a design sketch. Security footage shows a shadowy figure entering through a side door.,"A former assistant, resentful after being fired, stole the collection to sabotage the designer’s career."
